characterName,listFile,analysisFile
the gnat,Books/Through_the_Looking_Glass/character_12_list.txt,
white king,Books/Through_the_Looking_Glass/character_4_list.txt,
the daisies,Books/Through_the_Looking_Glass/character_18_list.txt,
the violet,Books/Through_the_Looking_Glass/character_17_list.txt,
red queen,Books/Through_the_Looking_Glass/character_1_list.txt,
the man in white paper,Books/Through_the_Looking_Glass/character_21_list.txt,
frog,Books/Through_the_Looking_Glass/character_22_list.txt,
the red knight,Books/Through_the_Looking_Glass/character_14_list.txt,
red king,Books/Through_the_Looking_Glass/character_3_list.txt,
lily,Books/Through_the_Looking_Glass/character_19_list.txt,
the rose,Books/Through_the_Looking_Glass/character_16_list.txt,
humpty dumpty,Books/Through_the_Looking_Glass/character_6_list.txt,
tweedledum and tweedledee,Books/Through_the_Looking_Glass/character_7_list.txt,
haigha and hatta,Books/Through_the_Looking_Glass/character_10_list.txt,
the tiger-lily,Books/Through_the_Looking_Glass/character_15_list.txt,
unicorn,Books/Through_the_Looking_Glass/character_8_list.txt,
white knight,Books/Through_the_Looking_Glass/character_5_list.txt,
the fawn,Books/Through_the_Looking_Glass/character_13_list.txt,
the lion,Books/Through_the_Looking_Glass/character_9_list.txt,
alice,Books/Through_the_Looking_Glass/character_0_list.txt,Books/Through_the_Looking_Glass/character_0_analysis.txt
the sheep,Books/Through_the_Looking_Glass/character_11_list.txt,
white queen,Books/Through_the_Looking_Glass/character_2_list.txt,
the goat,Books/Through_the_Looking_Glass/character_20_list.txt,
