characterName,listFile,analysisFile
alcibiades,Books/Timon_of_Athens/character_2_list_cleaned.txt,
flaminius,Books/Timon_of_Athens/character_9_list_cleaned.txt,
varro's servant,Books/Timon_of_Athens/character_13_list_cleaned.txt,
lords,Books/Timon_of_Athens/character_21_list_cleaned.txt,
bandits,Books/Timon_of_Athens/character_19_list_cleaned.txt,
fool,Books/Timon_of_Athens/character_18_list_cleaned.txt,
jeweler,Books/Timon_of_Athens/character_17_list_cleaned.txt,
senators,Books/Timon_of_Athens/character_20_list_cleaned.txt,
flavius,Books/Timon_of_Athens/character_3_list_cleaned.txt,
poet,Books/Timon_of_Athens/character_15_list_cleaned.txt,
sempronius,Books/Timon_of_Athens/character_6_list_cleaned.txt,
timon,Books/Timon_of_Athens/character_0_list_cleaned.txt,
isidore's servant,Books/Timon_of_Athens/character_14_list_cleaned.txt,
painter,Books/Timon_of_Athens/character_16_list_cleaned.txt,
lucilius,Books/Timon_of_Athens/character_8_list_cleaned.txt,
servilius,Books/Timon_of_Athens/character_10_list_cleaned.txt,
ventidius,Books/Timon_of_Athens/character_7_list_cleaned.txt,
servant,Books/Timon_of_Athens/character_11_list_cleaned.txt,
lucius,Books/Timon_of_Athens/character_5_list_cleaned.txt,
apemantus,Books/Timon_of_Athens/character_1_list_cleaned.txt,
lucullus,Books/Timon_of_Athens/character_4_list_cleaned.txt,
caphis,Books/Timon_of_Athens/character_12_list_cleaned.txt,
