characterName,listFile,analysisFile
"charles baker ""dill"" harris",Books/To_Kill_a_Mockingbird/character_5_list.txt,
heck tate,Books/To_Kill_a_Mockingbird/character_14_list.txt,
calpurnia,Books/To_Kill_a_Mockingbird/character_7_list.txt,
miss maudie atkinson,Books/To_Kill_a_Mockingbird/character_6_list.txt,
atticus finch,Books/To_Kill_a_Mockingbird/character_1_list.txt,
"arthur ""boo"" radley",Books/To_Kill_a_Mockingbird/character_3_list.txt,
mr. dolphus raymond,Books/To_Kill_a_Mockingbird/character_16_list.txt,
mr. underwood,Books/To_Kill_a_Mockingbird/character_15_list.txt,
"jean louise ""scout"" finch",Books/To_Kill_a_Mockingbird/character_0_list.txt,
"jeremy atticus ""jem"" finch",Books/To_Kill_a_Mockingbird/character_2_list.txt,
aunt alexandra,Books/To_Kill_a_Mockingbird/character_8_list.txt,
walter cunningham,Books/To_Kill_a_Mockingbird/character_18_list.txt,
bob ewell,Books/To_Kill_a_Mockingbird/character_4_list.txt,
mr. walter cunningham,Books/To_Kill_a_Mockingbird/character_17_list.txt,
mrs. henry lafayette dubose,Books/To_Kill_a_Mockingbird/character_12_list.txt,
link deas,Books/To_Kill_a_Mockingbird/character_11_list.txt,
tom robinson,Books/To_Kill_a_Mockingbird/character_10_list.txt,
mayella ewell,Books/To_Kill_a_Mockingbird/character_9_list.txt,
nathan radley,Books/To_Kill_a_Mockingbird/character_13_list.txt,
