characterName,listFile,analysisFile
mrs. mcnab,Books/To_the_Lighthouse/character_16_list_cleaned.txt,
charles tansley,Books/To_the_Lighthouse/character_6_list_cleaned.txt,
roger ramsay,Books/To_the_Lighthouse/character_11_list_cleaned.txt,
mr. ramsay,Books/To_the_Lighthouse/character_1_list_cleaned.txt,Books/To_the_Lighthouse/character_1_analysis_cleaned.txt
augustus carmichael,Books/To_the_Lighthouse/character_8_list_cleaned.txt,
nancy ramsay,Books/To_the_Lighthouse/character_14_list_cleaned.txt,
james ramsay,Books/To_the_Lighthouse/character_3_list_cleaned.txt,Books/To_the_Lighthouse/character_3_analysis_cleaned.txt
minta doyle,Books/To_the_Lighthouse/character_5_list_cleaned.txt,
andrew ramsay,Books/To_the_Lighthouse/character_9_list_cleaned.txt,
paul rayley,Books/To_the_Lighthouse/character_4_list_cleaned.txt,
rose ramsay,Books/To_the_Lighthouse/character_13_list_cleaned.txt,
mrs. ramsay,Books/To_the_Lighthouse/character_0_list_cleaned.txt,Books/To_the_Lighthouse/character_0_analysis_cleaned.txt
william bankes,Books/To_the_Lighthouse/character_7_list_cleaned.txt,
jasper ramsay,Books/To_the_Lighthouse/character_10_list_cleaned.txt,
cam ramsay,Books/To_the_Lighthouse/character_15_list_cleaned.txt,
lily briscoe,Books/To_the_Lighthouse/character_2_list_cleaned.txt,Books/To_the_Lighthouse/character_2_analysis_cleaned.txt
macalister,Books/To_the_Lighthouse/character_17_list_cleaned.txt,
prue ramsay,Books/To_the_Lighthouse/character_12_list_cleaned.txt,
macalister's boy,Books/To_the_Lighthouse/character_18_list_cleaned.txt,
