characterName,listFile,analysisFile
square,Books/Tom_Jones/character_16_list.txt,
black george,Books/Tom_Jones/character_19_list.txt,
tom jones %,Books/Tom_Jones/character_0_list.txt,
jenny jones %,Books/Tom_Jones/character_7_list.txt,
molly seagrim,Books/Tom_Jones/character_18_list.txt,
lord fellamar,Books/Tom_Jones/character_15_list.txt,
mr. allworthy %,Books/Tom_Jones/character_2_list.txt,
sophia western %,Books/Tom_Jones/character_1_list.txt,
nancy miller,Books/Tom_Jones/character_20_list.txt,
narrator,Books/Tom_Jones/character_21_list.txt,
mr. dowling,Books/Tom_Jones/character_12_list.txt,
mrs. miller,Books/Tom_Jones/character_13_list.txt,
partridge,Books/Tom_Jones/character_6_list.txt,
squire western %,Books/Tom_Jones/character_4_list.txt,
thwackum,Books/Tom_Jones/character_17_list.txt,
mr. fitzpatrick %,Books/Tom_Jones/character_11_list.txt,
master blifil,Books/Tom_Jones/character_3_list.txt,
lady bellaston,Books/Tom_Jones/character_9_list.txt,
nightingale,Books/Tom_Jones/character_14_list.txt,
mrs. western %,Books/Tom_Jones/character_5_list.txt,
harriet fitzpatrick %,Books/Tom_Jones/character_10_list.txt,
bridget allworthy %,Books/Tom_Jones/character_8_list.txt,
