characterName,listFile,analysisFile
obadiah,Books/Tristram_Shandy/character_8_list_cleaned.txt,
susannah,Books/Tristram_Shandy/character_7_list_cleaned.txt,
eugenius,Books/Tristram_Shandy/character_13_list_cleaned.txt,
bridget,Books/Tristram_Shandy/character_11_list_cleaned.txt,
captain toby shandy (uncle toby),Books/Tristram_Shandy/character_3_list_cleaned.txt,
parson yorick,Books/Tristram_Shandy/character_6_list_cleaned.txt,
elizabeth shandy (mrs. shandy),Books/Tristram_Shandy/character_2_list_cleaned.txt,
tristram shandy,Books/Tristram_Shandy/character_0_list_cleaned.txt,
lieutenant le fever,Books/Tristram_Shandy/character_18_list_cleaned.txt,
corporal trim,Books/Tristram_Shandy/character_4_list_cleaned.txt,
didius,Books/Tristram_Shandy/character_14_list_cleaned.txt,
the midwife,Books/Tristram_Shandy/character_12_list_cleaned.txt,
dr. slop,Books/Tristram_Shandy/character_5_list_cleaned.txt,
billy le fever,Books/Tristram_Shandy/character_19_list_cleaned.txt,
widow wadman,Books/Tristram_Shandy/character_10_list_cleaned.txt,
aunt dinah,Books/Tristram_Shandy/character_17_list_cleaned.txt,
the curate,Books/Tristram_Shandy/character_16_list_cleaned.txt,
bobby shandy,Books/Tristram_Shandy/character_9_list_cleaned.txt,
"kysarcius, phutatorius, triptolemus, and gastripheres",Books/Tristram_Shandy/character_15_list_cleaned.txt,
walter shandy,Books/Tristram_Shandy/character_1_list_cleaned.txt,
