characterName,listFile,analysisFile
andromache,Books/Troilus_and_Cressida/character_21_list_cleaned.txt,
agamemnon,Books/Troilus_and_Cressida/character_8_list_cleaned.txt,
ulysses,Books/Troilus_and_Cressida/character_3_list_cleaned.txt,
troilus,Books/Troilus_and_Cressida/character_0_list_cleaned.txt,
cassandra,Books/Troilus_and_Cressida/character_16_list_cleaned.txt,
paris,Books/Troilus_and_Cressida/character_10_list_cleaned.txt,
pandarus,Books/Troilus_and_Cressida/character_4_list_cleaned.txt,
calchas,Books/Troilus_and_Cressida/character_13_list_cleaned.txt,
hector,Books/Troilus_and_Cressida/character_2_list_cleaned.txt,
diomedes,Books/Troilus_and_Cressida/character_9_list_cleaned.txt,
thersites,Books/Troilus_and_Cressida/character_5_list_cleaned.txt,
nestor,Books/Troilus_and_Cressida/character_15_list_cleaned.txt,
helenus,Books/Troilus_and_Cressida/character_20_list_cleaned.txt,
cressida,Books/Troilus_and_Cressida/character_1_list_cleaned.txt,
aeneas,Books/Troilus_and_Cressida/character_14_list_cleaned.txt,
patroclus,Books/Troilus_and_Cressida/character_17_list_cleaned.txt,
priam,Books/Troilus_and_Cressida/character_18_list_cleaned.txt,
ajax,Books/Troilus_and_Cressida/character_7_list_cleaned.txt,
menelaus,Books/Troilus_and_Cressida/character_11_list_cleaned.txt,
helen,Books/Troilus_and_Cressida/character_12_list_cleaned.txt,
achilles,Books/Troilus_and_Cressida/character_6_list_cleaned.txt,
antenor,Books/Troilus_and_Cressida/character_19_list_cleaned.txt,
