characterName,listFile,analysisFile
feste,Books/Twelfth_Night/character_5_list_cleaned.txt,
sir andrew aguecheek,Books/Twelfth_Night/character_8_list_cleaned.txt,
malvolio,Books/Twelfth_Night/character_4_list_cleaned.txt,Books/Twelfth_Night/character_4_list_cleaned.txt
sir toby,Books/Twelfth_Night/character_6_list_cleaned.txt,
antonio,Books/Twelfth_Night/character_9_list_cleaned.txt,
olivia,Books/Twelfth_Night/character_2_list_cleaned.txt,
viola,Books/Twelfth_Night/character_0_list_cleaned.txt,Books/Twelfth_Night/character_0_list_cleaned.txt
sebastian,Books/Twelfth_Night/character_3_list_cleaned.txt,
orsino,Books/Twelfth_Night/character_1_list_cleaned.txt,
maria,Books/Twelfth_Night/character_7_list_cleaned.txt,
