characterName,listFile,analysisFile
kory-kory,Books/Typee/character_3_list.txt,
tinor,Books/Typee/character_6_list.txt,
captain vangs,Books/Typee/character_9_list.txt,
marnoo,Books/Typee/character_8_list.txt,
mow-mow,Books/Typee/character_10_list.txt,
fayaway,Books/Typee/character_2_list.txt,Books/Typee/character_2_analysis.txt
karky,Books/Typee/character_14_list.txt,
toby,Books/Typee/character_1_list.txt,
marheyo,Books/Typee/character_5_list.txt,
kolory,Books/Typee/character_13_list.txt,
karakoee,Books/Typee/character_11_list.txt,
mowanna,Books/Typee/character_15_list.txt,
jimmy,Books/Typee/character_12_list.txt,
tommo,Books/Typee/character_0_list.txt,Books/Typee/character_0_analysis.txt
namonee,Books/Typee/character_7_list.txt,
rear admiral du petit thouars,Books/Typee/character_16_list.txt,
mehevi,Books/Typee/character_4_list.txt,Books/Typee/character_4_analysis.txt
