characterName,listFile,analysisFile
zoe higgins,Books/Ulysses/character_23_list.txt,
florry talbot,Books/Ulysses/character_38_list.txt,
"richie, sara (sally), and walter goulding",Books/Ulysses/character_22_list.txt,
corny kelleher,Books/Ulysses/character_25_list.txt,
"dilly, katey, boody, and maggy dedalus",Books/Ulysses/character_18_list.txt,
thomas w. lyster,Books/Ulysses/character_30_list.txt,
josie (nee powell) and denis breen,Books/Ulysses/character_11_list.txt,
joe hynes,Books/Ulysses/character_24_list.txt,
millicent (milly) bloom,Books/Ulysses/character_6_list.txt,
ned lambert,Books/Ulysses/character_27_list.txt,
"patrick dignam, mrs. dignam, and patrick dignam, jr.",Books/Ulysses/character_19_list.txt,
edy boardman,Books/Ulysses/character_10_list.txt,
"hugh (""blazes"") boylan",Books/Ulysses/character_5_list.txt,
bella cohen,Books/Ulysses/character_15_list.txt,
john henry menton,Books/Ulysses/character_32_list.txt,
kitty ricketts,Books/Ulysses/character_37_list.txt,
ben dollard,Books/Ulysses/character_20_list.txt,
"cissy, jacky, and tommy caffrey",Books/Ulysses/character_12_list.txt,
haines,Books/Ulysses/character_4_list.txt,
stephen dedalus,Books/Ulysses/character_2_list.txt,Books/Ulysses/character_2_analysis.txt
martin cunningham,Books/Ulysses/character_16_list.txt,
gerty macdowell,Books/Ulysses/character_31_list.txt,
a.e. (george russell),Books/Ulysses/character_8_list.txt,
city councillor nannetti,Books/Ulysses/character_34_list.txt,
lynch,Books/Ulysses/character_29_list.txt,
the citizen,Books/Ulysses/character_13_list.txt,
john eglinton,Books/Ulysses/character_21_list.txt,
j. j. o'molloy,Books/Ulysses/character_35_list.txt,
simon dedalus,Books/Ulysses/character_7_list.txt,
richard best,Books/Ulysses/character_9_list.txt,
mina kennedy and lydia douce,Books/Ulysses/character_26_list.txt,
lenehan,Books/Ulysses/character_28_list.txt,
malachi (buck) mulligan,Books/Ulysses/character_3_list.txt,
leopold bloom,Books/Ulysses/character_0_list.txt,Books/Ulysses/character_0_analysis.txt
martha clifford,Books/Ulysses/character_14_list.txt,
marion (molly) bloom,Books/Ulysses/character_1_list.txt,
jack power,Books/Ulysses/character_36_list.txt,
garrett deasy,Books/Ulysses/character_17_list.txt,
episode twelve's nameless narrator,Books/Ulysses/character_33_list.txt,
