characterName,listFile,analysisFile
george harris,Books/Uncle_Toms_Cabin/character_5_list_cleaned.txt,
harry harris,Books/Uncle_Toms_Cabin/character_7_list_cleaned.txt,
topsy,Books/Uncle_Toms_Cabin/character_16_list_cleaned.txt,
simon legree,Books/Uncle_Toms_Cabin/character_17_list_cleaned.txt,Books/Uncle_Toms_Cabin/character_17_analysis_cleaned.txt
tom loker,Books/Uncle_Toms_Cabin/character_14_list_cleaned.txt,
senator and mrs. bird,Books/Uncle_Toms_Cabin/character_13_list_cleaned.txt,
augustine st. clare,Books/Uncle_Toms_Cabin/character_8_list_cleaned.txt,
eva,Books/Uncle_Toms_Cabin/character_9_list_cleaned.txt,
miss ophelia,Books/Uncle_Toms_Cabin/character_10_list_cleaned.txt,
george shelby,Books/Uncle_Toms_Cabin/character_4_list_cleaned.txt,
marie,Books/Uncle_Toms_Cabin/character_11_list_cleaned.txt,
arthur shelby,Books/Uncle_Toms_Cabin/character_2_list_cleaned.txt,
mr. haley,Books/Uncle_Toms_Cabin/character_15_list_cleaned.txt,
emmeline,Books/Uncle_Toms_Cabin/character_19_list_cleaned.txt,
eliza harris,Books/Uncle_Toms_Cabin/character_6_list_cleaned.txt,
the quakers,Books/Uncle_Toms_Cabin/character_12_list_cleaned.txt,
aunt chloe,Books/Uncle_Toms_Cabin/character_1_list_cleaned.txt,
emily shelby,Books/Uncle_Toms_Cabin/character_3_list_cleaned.txt,
uncle tom,Books/Uncle_Toms_Cabin/character_0_list_cleaned.txt,Books/Uncle_Toms_Cabin/character_0_analysis_cleaned.txt
cassy,Books/Uncle_Toms_Cabin/character_18_list_cleaned.txt,
