characterName,listFile,analysisFile
father moody,Books/Virgin_Suicides/character_24_list.txt,
miss kilsen,Books/Virgin_Suicides/character_23_list.txt,
mary lisbon,Books/Virgin_Suicides/character_3_list.txt,
paul baldino,Books/Virgin_Suicides/character_10_list.txt,
mr. lisbon,Books/Virgin_Suicides/character_5_list.txt,
kevin head,Books/Virgin_Suicides/character_14_list.txt,
the paramedics,Books/Virgin_Suicides/character_20_list.txt,
peter sissen,Books/Virgin_Suicides/character_9_list.txt,
joe hill conley,Books/Virgin_Suicides/character_11_list.txt,
therese lisbon,Books/Virgin_Suicides/character_4_list.txt,
cecilia lisbon,Books/Virgin_Suicides/character_0_list.txt,
dr. hornicker,Books/Virgin_Suicides/character_19_list.txt,
trip fontaine,Books/Virgin_Suicides/character_7_list.txt,Books/Virgin_Suicides/character_7_analysis.txt
bonnie lisbon,Books/Virgin_Suicides/character_2_list.txt,
tim winer,Books/Virgin_Suicides/character_15_list.txt,
chase buell,Books/Virgin_Suicides/character_12_list.txt,
mrs. lisbon,Books/Virgin_Suicides/character_6_list.txt,
dominic palazzolo,Books/Virgin_Suicides/character_22_list.txt,
parkie denton,Books/Virgin_Suicides/character_13_list.txt,
tom faheem,Books/Virgin_Suicides/character_16_list.txt,
lux lisbon,Books/Virgin_Suicides/character_1_list.txt,Books/Virgin_Suicides/character_1_analysis.txt
old mrs. karafilis,Books/Virgin_Suicides/character_21_list.txt,
valentine stamarowski,Books/Virgin_Suicides/character_18_list.txt,
joe larson,Books/Virgin_Suicides/character_17_list.txt,
the neighborhood boys,Books/Virgin_Suicides/character_8_list.txt,Books/Virgin_Suicides/character_8_analysis.txt
