characterName,listFile,analysisFile
sal's grandparents,Books/Walk_Two_Moons/character_2_list.txt,
sal's mother,Books/Walk_Two_Moons/character_4_list.txt,Books/Walk_Two_Moons/character_4_analysis.txt
ben,Books/Walk_Two_Moons/character_8_list.txt,
mrs. finney,Books/Walk_Two_Moons/character_16_list.txt,
sal,Books/Walk_Two_Moons/character_0_list.txt,
mrs. partridge,Books/Walk_Two_Moons/character_10_list.txt,
mr. birkway,Books/Walk_Two_Moons/character_9_list.txt,
prudence,Books/Walk_Two_Moons/character_11_list.txt,
margaret cadaver,Books/Walk_Two_Moons/character_7_list.txt,
mr. and mrs. finney,Books/Walk_Two_Moons/character_13_list.txt,
mr. winterbottom,Books/Walk_Two_Moons/character_6_list.txt,
mrs. winterbottom,Books/Walk_Two_Moons/character_5_list.txt,
phoebe winterbottom,Books/Walk_Two_Moons/character_1_list.txt,Books/Walk_Two_Moons/character_1_analysis.txt
sergeant bickle,Books/Walk_Two_Moons/character_15_list.txt,
the lunatic,Books/Walk_Two_Moons/character_14_list.txt,
sal's father,Books/Walk_Two_Moons/character_3_list.txt,Books/Walk_Two_Moons/character_3_analysis.txt
mary lou finney,Books/Walk_Two_Moons/character_12_list.txt,
grandparents pickford,Books/Walk_Two_Moons/character_17_list.txt,
