characterName,listFile,analysisFile
mary bolkonskaya,Books/War_and_Peace/character_5_list_cleaned.txt,
sonya rostova,Books/War_and_Peace/character_12_list_cleaned.txt,
countess natalya rostova,Books/War_and_Peace/character_9_list_cleaned.txt,
anna pavlovna scherer,Books/War_and_Peace/character_0_list_cleaned.txt,
count ilya rostov,Books/War_and_Peace/character_8_list_cleaned.txt,
natasha rostova,Books/War_and_Peace/character_10_list_cleaned.txt,Books/War_and_Peace/character_10_analysis_cleaned.txt
denisov,Books/War_and_Peace/character_22_list_cleaned.txt,
boris drubetskoy,Books/War_and_Peace/character_20_list_cleaned.txt,
speranski,Books/War_and_Peace/character_23_list_cleaned.txt,
bagration,Books/War_and_Peace/character_24_list_cleaned.txt,
dolokhov,Books/War_and_Peace/character_21_list_cleaned.txt,
lise bolkonskaya,Books/War_and_Peace/character_3_list_cleaned.txt,
mademoiselle bourienne,Books/War_and_Peace/character_6_list_cleaned.txt,
nicholas rostov,Books/War_and_Peace/character_11_list_cleaned.txt,
vasili kuragin,Books/War_and_Peace/character_15_list_cleaned.txt,
helene kuragina,Books/War_and_Peace/character_17_list_cleaned.txt,
pierre bezukhov,Books/War_and_Peace/character_1_list_cleaned.txt,Books/War_and_Peace/character_1_analysis_cleaned.txt
petya rostov,Books/War_and_Peace/character_13_list_cleaned.txt,
princess anna mikhaylovna drubetskaya,Books/War_and_Peace/character_19_list_cleaned.txt,
julie karagina,Books/War_and_Peace/character_7_list_cleaned.txt,
napoleon,Books/War_and_Peace/character_26_list_cleaned.txt,
vera rostova,Books/War_and_Peace/character_14_list_cleaned.txt,
prince bolkonski,Books/War_and_Peace/character_4_list_cleaned.txt,
andrew bolkonski,Books/War_and_Peace/character_2_list_cleaned.txt,Books/War_and_Peace/character_2_analysis_cleaned.txt
anatole kuragin,Books/War_and_Peace/character_16_list_cleaned.txt,
hippolyte kuragin,Books/War_and_Peace/character_18_list_cleaned.txt,
general kutuzov,Books/War_and_Peace/character_25_list_cleaned.txt,Books/War_and_Peace/character_25_analysis_cleaned.txt
