characterName,listFile,analysisFile
matt,Books/White_Fang/character_10_list_cleaned.txt,
kiche,Books/White_Fang/character_3_list_cleaned.txt,
one eye,Books/White_Fang/character_4_list_cleaned.txt,
white fang,Books/White_Fang/character_0_list_cleaned.txt,
mit-sah,Books/White_Fang/character_7_list_cleaned.txt,
lip-lip,Books/White_Fang/character_6_list_cleaned.txt,
jim hall,Books/White_Fang/character_13_list_cleaned.txt,
bill,Books/White_Fang/character_2_list_cleaned.txt,
collie,Books/White_Fang/character_11_list_cleaned.txt,
gray beaver,Books/White_Fang/character_5_list_cleaned.txt,
weedon scott,Books/White_Fang/character_9_list_cleaned.txt,
henry,Books/White_Fang/character_1_list_cleaned.txt,
judge scott,Books/White_Fang/character_12_list_cleaned.txt,
beauty smith,Books/White_Fang/character_8_list_cleaned.txt,
