characterName,listFile,analysisFile
vernon dickey,Books/White_Noise/character_12_list.txt,
tweedy bonner,Books/White_Noise/character_15_list.txt,
wilder,Books/White_Noise/character_9_list.txt,
sundar chakravarty,Books/White_Noise/character_21_list.txt,
adele t.,Books/White_Noise/character_24_list.txt,
denise,Books/White_Noise/character_7_list.txt,
janet savory,Books/White_Noise/character_17_list.txt,
howard dunlop,Books/White_Noise/character_5_list.txt,
orest mercator,Books/White_Noise/character_8_list.txt,
tommy roy foster,Books/White_Noise/character_20_list.txt,
willie mink,Books/White_Noise/character_3_list.txt,Books/White_Noise/character_3_analysis.txt
jack gladney,Books/White_Noise/character_0_list.txt,Books/White_Noise/character_0_analysis.txt
gladys treadwell,Books/White_Noise/character_23_list.txt,
winnie richards,Books/White_Noise/character_10_list.txt,
dimitros cotsakis,Books/White_Noise/character_18_list.txt,
babette,Books/White_Noise/character_1_list.txt,Books/White_Noise/character_1_analysis.txt
heinrich,Books/White_Noise/character_2_list.txt,
sister hermann marie,Books/White_Noise/character_11_list.txt,
murray jay siskind,Books/White_Noise/character_4_list.txt,Books/White_Noise/character_4_analysis.txt
alfonse stompanato,Books/White_Noise/character_13_list.txt,
bee,Books/White_Noise/character_14_list.txt,
old man treadwell,Books/White_Noise/character_22_list.txt,
steffie,Books/White_Noise/character_6_list.txt,
dana breedlove,Books/White_Noise/character_16_list.txt,
bob pardee,Books/White_Noise/character_19_list.txt,
