characterName,listFile,analysisFile
ray pearson,Books/Winesburg_Ohio/character_20_list.txt,
louise bentley,Books/Winesburg_Ohio/character_8_list.txt,
elizabeth willard,Books/Winesburg_Ohio/character_3_list.txt,
joe welling,Books/Winesburg_Ohio/character_10_list.txt,
wing biddlebaum,Books/Winesburg_Ohio/character_1_list.txt,
kate swift,Books/Winesburg_Ohio/character_16_list.txt,
tom willard,Books/Winesburg_Ohio/character_4_list.txt,
tandy hard,Books/Winesburg_Ohio/character_14_list.txt,
tom foster,Books/Winesburg_Ohio/character_22_list.txt,
doctor reefy,Books/Winesburg_Ohio/character_2_list.txt,
wash williams,Books/Winesburg_Ohio/character_12_list.txt,
alice hindman,Books/Winesburg_Ohio/character_11_list.txt,
belle carpenter,Books/Winesburg_Ohio/character_18_list.txt,
george willard,Books/Winesburg_Ohio/character_0_list.txt,
seth richmond,Books/Winesburg_Ohio/character_13_list.txt,
david hardy,Books/Winesburg_Ohio/character_9_list.txt,
elmer cowley,Books/Winesburg_Ohio/character_19_list.txt,
jesse bentley,Books/Winesburg_Ohio/character_7_list.txt,
hal winters,Books/Winesburg_Ohio/character_21_list.txt,
helen white,Books/Winesburg_Ohio/character_23_list.txt,
louise trunnion,Books/Winesburg_Ohio/character_6_list.txt,
enoch robinson,Books/Winesburg_Ohio/character_17_list.txt,
doctor parcival,Books/Winesburg_Ohio/character_5_list.txt,
curtis hartman,Books/Winesburg_Ohio/character_15_list.txt,
