characterName,listFile,analysisFile
heathcliff,Books/Wuthering_Heights/character_0_list.txt,Books/Wuthering_Heights/character_0_analysis.txt
mr. green,Books/Wuthering_Heights/character_17_list.txt,
mr. earnshaw,Books/Wuthering_Heights/character_10_list.txt,
edgar linton,Books/Wuthering_Heights/character_2_list.txt,
isabella linton,Books/Wuthering_Heights/character_9_list.txt,
catherine,Books/Wuthering_Heights/character_1_list.txt,Books/Wuthering_Heights/character_1_analysis.txt
zillah,Books/Wuthering_Heights/character_16_list.txt,
hindley earnshaw,Books/Wuthering_Heights/character_8_list.txt,
young catherine,Books/Wuthering_Heights/character_5_list.txt,
joseph,Books/Wuthering_Heights/character_12_list.txt,
hareton earnshaw,Books/Wuthering_Heights/character_6_list.txt,
linton heathcliff,Books/Wuthering_Heights/character_7_list.txt,
mrs. linton,Books/Wuthering_Heights/character_15_list.txt,
mrs. earnshaw,Books/Wuthering_Heights/character_11_list.txt,
mr. linton,Books/Wuthering_Heights/character_14_list.txt,
lockwood,Books/Wuthering_Heights/character_4_list.txt,
nelly dean,Books/Wuthering_Heights/character_3_list.txt,
frances earnshaw,Books/Wuthering_Heights/character_13_list.txt,
