book,characterName,listFile,analysisFile
1984,syme,Books/1984/character_5_list_cleaned.txt,
1984,parsons,Books/1984/character_6_list_cleaned.txt,
1984,julia,Books/1984/character_1_list_cleaned.txt,Books/1984/character_1_analysis_cleaned.txt
1984,emmanuel goldstein,Books/1984/character_7_list_cleaned.txt,
1984,mr. charrington,Books/1984/character_4_list_cleaned.txt,
1984,o'brien,Books/1984/character_2_list_cleaned.txt,Books/1984/character_2_analysis_cleaned.txt
1984,winston smith,Books/1984/character_0_list_cleaned.txt,Books/1984/character_0_analysis_cleaned.txt
1984,big brother,Books/1984/character_3_list_cleaned.txt,
A_Christmas_Carol,jacob marley,Books/A_Christmas_Carol/character_3_list_cleaned.txt,
A_Christmas_Carol,ebenezer scrooge,Books/A_Christmas_Carol/character_0_list_cleaned.txt,
A_Christmas_Carol,belle,Books/A_Christmas_Carol/character_9_list_cleaned.txt,
A_Christmas_Carol,peter cratchit,Books/A_Christmas_Carol/character_10_list_cleaned.txt,
A_Christmas_Carol,tiny tim,Books/A_Christmas_Carol/character_2_list_cleaned.txt,
A_Christmas_Carol,martha cratchit,Books/A_Christmas_Carol/character_11_list_cleaned.txt,
A_Christmas_Carol,fred,Books/A_Christmas_Carol/character_7_list_cleaned.txt,
A_Christmas_Carol,the ghost of christmas present,Books/A_Christmas_Carol/character_5_list_cleaned.txt,
A_Christmas_Carol,fan,Books/A_Christmas_Carol/character_12_list_cleaned.txt,
A_Christmas_Carol,the portly gentlemen,Books/A_Christmas_Carol/character_13_list_cleaned.txt,
A_Christmas_Carol,the ghost of christmas past,Books/A_Christmas_Carol/character_4_list_cleaned.txt,
A_Christmas_Carol,bob cratchit,Books/A_Christmas_Carol/character_1_list_cleaned.txt,
A_Christmas_Carol,fezziwig,Books/A_Christmas_Carol/character_8_list_cleaned.txt,
A_Christmas_Carol,mrs. cratchit,Books/A_Christmas_Carol/character_14_list_cleaned.txt,
A_Christmas_Carol,the ghost of christmas yet to come,Books/A_Christmas_Carol/character_6_list_cleaned.txt,
A_Clockwork_Orange,dad,Books/A_Clockwork_Orange/character_15_list_cleaned.txt,
A_Clockwork_Orange,dim,Books/A_Clockwork_Orange/character_3_list_cleaned.txt,
A_Clockwork_Orange,cat lady (mrs. weathers),Books/A_Clockwork_Orange/character_8_list_cleaned.txt,
A_Clockwork_Orange,lodger,Books/A_Clockwork_Orange/character_6_list_cleaned.txt,
A_Clockwork_Orange,mum,Books/A_Clockwork_Orange/character_12_list_cleaned.txt,
A_Clockwork_Orange,georgie,Books/A_Clockwork_Orange/character_9_list_cleaned.txt,
A_Clockwork_Orange,prison chaplain,Books/A_Clockwork_Orange/character_11_list_cleaned.txt,Books/A_Clockwork_Orange/character_11_analysis_cleaned.txt
A_Clockwork_Orange,dr. branom,Books/A_Clockwork_Orange/character_13_list_cleaned.txt,
A_Clockwork_Orange,tramp,Books/A_Clockwork_Orange/character_5_list_cleaned.txt,
A_Clockwork_Orange,minister of the interior,Books/A_Clockwork_Orange/character_14_list_cleaned.txt,Books/A_Clockwork_Orange/character_14_analysis_cleaned.txt
A_Clockwork_Orange,deltoid,Books/A_Clockwork_Orange/character_10_list_cleaned.txt,
A_Clockwork_Orange,prison governor,Books/A_Clockwork_Orange/character_7_list_cleaned.txt,
A_Clockwork_Orange,mr. alexander,Books/A_Clockwork_Orange/character_1_list_cleaned.txt,
A_Clockwork_Orange,dr. brodsky,Books/A_Clockwork_Orange/character_4_list_cleaned.txt,
A_Clockwork_Orange,chief prison guard,Books/A_Clockwork_Orange/character_2_list_cleaned.txt,
A_Clockwork_Orange,alex delarge,Books/A_Clockwork_Orange/character_0_list_cleaned.txt,Books/A_Clockwork_Orange/character_0_analysis_cleaned.txt
A_Connecticut_Yankee_in_King_Arthurs_Court,morgan le fay,Books/A_Connecticut_Yankee_in_King_Arthurs_Court/character_9_list_cleaned.txt,
A_Connecticut_Yankee_in_King_Arthurs_Court,the yankee (hank morgan),Books/A_Connecticut_Yankee_in_King_Arthurs_Court/character_0_list_cleaned.txt,
A_Connecticut_Yankee_in_King_Arthurs_Court,merlin,Books/A_Connecticut_Yankee_in_King_Arthurs_Court/character_4_list_cleaned.txt,
A_Connecticut_Yankee_in_King_Arthurs_Court,sir dinadan,Books/A_Connecticut_Yankee_in_King_Arthurs_Court/character_8_list_cleaned.txt,
A_Connecticut_Yankee_in_King_Arthurs_Court,guenever,Books/A_Connecticut_Yankee_in_King_Arthurs_Court/character_6_list_cleaned.txt,
